Iteration 93, time = 165s, loss_lab = 0.0439, loss_unl = 0.5575, train err = 0.0060, test err = 0.3671
Iteration 94, time = 165s, loss_lab = 0.0445, loss_unl = 0.5572, train err = 0.0063, test err = 0.3679
Iteration 95, time = 166s, loss_lab = 0.0444, loss_unl = 0.5539, train err = 0.0065, test err = 0.3688
Iteration 96, time = 166s, loss_lab = 0.0426, loss_unl = 0.5561, train err = 0.0057, test err = 0.3682
Iteration 97, time = 165s, loss_lab = 0.0425, loss_unl = 0.5537, train err = 0.0057, test err = 0.3679
Iteration 98, time = 165s, loss_lab = 0.0433, loss_unl = 0.5521, train err = 0.0062, test err = 0.3688
Iteration 99, time = 166s, loss_lab = 0.0422, loss_unl = 0.5529, train err = 0.0055, test err = 0.3682
Iteration 100, time = 166s, loss_lab = 0.0439, loss_unl = 0.5546, train err = 0.0065, test err = 0.3677
Iteration 101, time = 165s, loss_lab = 0.0421, loss_unl = 0.5584, train err = 0.0056, test err = 0.3669
Iteration 102, time = 166s, loss_lab = 0.0411, loss_unl = 0.5555, train err = 0.0061, test err = 0.3662
Iteration 103, time = 166s, loss_lab = 0.0405, loss_unl = 0.5497, train err = 0.0055, test err = 0.3670
Iteration 104, time = 166s, loss_lab = 0.0409, loss_unl = 0.5541, train err = 0.0057, test err = 0.3671
Iteration 105, time = 165s, loss_lab = 0.0411, loss_unl = 0.5471, train err = 0.0058, test err = 0.3661
Iteration 106, time = 165s, loss_lab = 0.0415, loss_unl = 0.5484, train err = 0.0060, test err = 0.3656
Iteration 107, time = 166s, loss_lab = 0.0407, loss_unl = 0.5493, train err = 0.0053, test err = 0.3657
Iteration 108, time = 165s, loss_lab = 0.0400, loss_unl = 0.5435, train err = 0.0052, test err = 0.3662
Iteration 109, time = 165s, loss_lab = 0.0390, loss_unl = 0.5385, train err = 0.0051, test err = 0.3674
Iteration 110, time = 165s, loss_lab = 0.0399, loss_unl = 0.5405, train err = 0.0055, test err = 0.3662
Iteration 111, time = 167s, loss_lab = 0.0396, loss_unl = 0.5361, train err = 0.0052, test err = 0.3663
Iteration 112, time = 165s, loss_lab = 0.0392, loss_unl = 0.5354, train err = 0.0057, test err = 0.3666
Iteration 113, time = 164s, loss_lab = 0.0389, loss_unl = 0.5346, train err = 0.0053, test err = 0.3671
Iteration 114, time = 165s, loss_lab = 0.0388, loss_unl = 0.5354, train err = 0.0051, test err = 0.3669
Iteration 115, time = 165s, loss_lab = 0.0387, loss_unl = 0.5320, train err = 0.0053, test err = 0.3667
Iteration 116, time = 166s, loss_lab = 0.0384, loss_unl = 0.5280, train err = 0.0055, test err = 0.3664
Iteration 117, time = 165s, loss_lab = 0.0386, loss_unl = 0.5270, train err = 0.0051, test err = 0.3649
Iteration 118, time = 165s, loss_lab = 0.0369, loss_unl = 0.5231, train err = 0.0052, test err = 0.3645
Iteration 119, time = 165s, loss_lab = 0.0367, loss_unl = 0.5272, train err = 0.0047, test err = 0.3646
Iteration 120, time = 166s, loss_lab = 0.0378, loss_unl = 0.5274, train err = 0.0055, test err = 0.3642
Iteration 121, time = 165s, loss_lab = 0.0360, loss_unl = 0.5211, train err = 0.0048, test err = 0.3649
Iteration 122, time = 165s, loss_lab = 0.0367, loss_unl = 0.5235, train err = 0.0052, test err = 0.3649
Iteration 123, time = 165s, loss_lab = 0.0365, loss_unl = 0.5226, train err = 0.0046, test err = 0.3638
Iteration 124, time = 166s, loss_lab = 0.0365, loss_unl = 0.5237, train err = 0.0050, test err = 0.3637
Iteration 125, time = 165s, loss_lab = 0.0386, loss_unl = 0.5206, train err = 0.0060, test err = 0.3629
Iteration 126, time = 165s, loss_lab = 0.0364, loss_unl = 0.5147, train err = 0.0047, test err = 0.3611
Iteration 127, time = 165s, loss_lab = 0.0368, loss_unl = 0.5176, train err = 0.0057, test err = 0.3605
Iteration 128, time = 166s, loss_lab = 0.0368, loss_unl = 0.5135, train err = 0.0053, test err = 0.3599
Iteration 129, time = 165s, loss_lab = 0.0342, loss_unl = 0.5108, train err = 0.0043, test err = 0.3599
Iteration 130, time = 165s, loss_lab = 0.0358, loss_unl = 0.5146, train err = 0.0045, test err = 0.3589
Iteration 131, time = 165s, loss_lab = 0.0350, loss_unl = 0.5101, train err = 0.0049, test err = 0.3587
Iteration 132, time = 165s, loss_lab = 0.0360, loss_unl = 0.5141, train err = 0.0049, test err = 0.3581
Iteration 133, time = 166s, loss_lab = 0.0354, loss_unl = 0.5101, train err = 0.0049, test err = 0.3585
Iteration 134, time = 165s, loss_lab = 0.0360, loss_unl = 0.5081, train err = 0.0049, test err = 0.3563
Iteration 135, time = 166s, loss_lab = 0.0344, loss_unl = 0.5065, train err = 0.0048, test err = 0.3555
Iteration 136, time = 165s, loss_lab = 0.0348, loss_unl = 0.5043, train err = 0.0050, test err = 0.3560
Iteration 137, time = 165s, loss_lab = 0.0339, loss_unl = 0.5033, train err = 0.0049, test err = 0.3557
Iteration 138, time = 165s, loss_lab = 0.0338, loss_unl = 0.5072, train err = 0.0044, test err = 0.3560
Iteration 139, time = 165s, loss_lab = 0.0336, loss_unl = 0.5085, train err = 0.0043, test err = 0.3579
Iteration 140, time = 166s, loss_lab = 0.0329, loss_unl = 0.5071, train err = 0.0042, test err = 0.3583
Iteration 141, time = 166s, loss_lab = 0.0346, loss_unl = 0.5053, train err = 0.0054, test err = 0.3584
Iteration 142, time = 166s, loss_lab = 0.0331, loss_unl = 0.5063, train err = 0.0043, test err = 0.3582
Iteration 143, time = 165s, loss_lab = 0.0335, loss_unl = 0.5034, train err = 0.0049, test err = 0.3576
Iteration 144, time = 165s, loss_lab = 0.0331, loss_unl = 0.5016, train err = 0.0045, test err = 0.3580
Iteration 145, time = 164s, loss_lab = 0.0336, loss_unl = 0.5000, train err = 0.0049, test err = 0.3563
Iteration 146, time = 165s, loss_lab = 0.0320, loss_unl = 0.4978, train err = 0.0041, test err = 0.3556
Iteration 147, time = 165s, loss_lab = 0.0330, loss_unl = 0.4976, train err = 0.0050, test err = 0.3555
Iteration 148, time = 165s, loss_lab = 0.0327, loss_unl = 0.5002, train err = 0.0046, test err = 0.3562
Iteration 149, time = 165s, loss_lab = 0.0317, loss_unl = 0.4964, train err = 0.0040, test err = 0.3549
Iteration 150, time = 165s, loss_lab = 0.0333, loss_unl = 0.4916, train err = 0.0047, test err = 0.3541
Iteration 151, time = 165s, loss_lab = 0.0328, loss_unl = 0.4941, train err = 0.0048, test err = 0.3555
Iteration 152, time = 165s, loss_lab = 0.0328, loss_unl = 0.4907, train err = 0.0047, test err = 0.3566
Iteration 153, time = 166s, loss_lab = 0.0323, loss_unl = 0.4942, train err = 0.0045, test err = 0.3565
Iteration 154, time = 166s, loss_lab = 0.0315, loss_unl = 0.4908, train err = 0.0042, test err = 0.3567
